"","zone","label_id"
"5057","MACKAY/CAPRICORN","20-492"
"5058","MACKAY/CAPRICORN","20-493"
"5059","MACKAY/CAPRICORN","21-040"
"5060","MACKAY/CAPRICORN","21-127a"
"5061","MACKAY/CAPRICORN","21-128"
"5062","MACKAY/CAPRICORN","21-152"
"5063","MACKAY/CAPRICORN","20-329"
"5064","MACKAY/CAPRICORN","20-131"
"5066","MACKAY/CAPRICORN","20-268"
"5067","MACKAY/CAPRICORN","20-331"
"5068","MACKAY/CAPRICORN","20-474"
"5069","MACKAY/CAPRICORN","20-478"
"5070","MACKAY/CAPRICORN","20-479"
"5071","MACKAY/CAPRICORN","20-480"
"5072","MACKAY/CAPRICORN","20-473"
"5073","MACKAY/CAPRICORN","20-483"
"5077","MACKAY/CAPRICORN","21-748"
"5078","MACKAY/CAPRICORN","21-753"
"5079","MACKAY/CAPRICORN","21-754"
"5080","MACKAY/CAPRICORN","22-041"
"5081","MACKAY/CAPRICORN","21-798"
"5082","MACKAY/CAPRICORN","22-061"
"5083","MACKAY/CAPRICORN","21-421"
"5084","MACKAY/CAPRICORN","21-423a"
"5085","MACKAY/CAPRICORN","21-423b"
"5086","MACKAY/CAPRICORN","21-806"
"5087","MACKAY/CAPRICORN","21-813"
"5088","MACKAY/CAPRICORN","20-338"
"5089","MACKAY/CAPRICORN","20-291"
"5091","MACKAY/CAPRICORN","20-292"
"5092","MACKAY/CAPRICORN","20-293"
"5094","MACKAY/CAPRICORN","20-249"
"5095","MACKAY/CAPRICORN","22-060"
"5096","MACKAY/CAPRICORN","22-062"
"5097","MACKAY/CAPRICORN","22-063"
"5098","MACKAY/CAPRICORN","22-063a"
"5099","MACKAY/CAPRICORN","22-065"
"5100","MACKAY/CAPRICORN","21-667"
"5101","MACKAY/CAPRICORN","21-673"
"5102","MACKAY/CAPRICORN","21-800"
"5103","MACKAY/CAPRICORN","22-066"
"5104","MACKAY/CAPRICORN","21-525"
"5105","MACKAY/CAPRICORN","21-688"
"5106","MACKAY/CAPRICORN","21-690"
"5107","MACKAY/CAPRICORN","21-691"
"5109","MACKAY/CAPRICORN","20-238"
"5110","MACKAY/CAPRICORN","20-242"
"5111","MACKAY/CAPRICORN","20-244"
"5112","MACKAY/CAPRICORN","20-300"
"5114","MACKAY/CAPRICORN","20-241"
"5115","MACKAY/CAPRICORN","20-243"
"5116","MACKAY/CAPRICORN","20-304"
"5117","MACKAY/CAPRICORN","20-258"
"5118","MACKAY/CAPRICORN","20-326"
"5119","MACKAY/CAPRICORN","21-668"
"5120","MACKAY/CAPRICORN","22-003a"
"5121","MACKAY/CAPRICORN","22-003b"
"5122","MACKAY/CAPRICORN","21-676"
"5123","MACKAY/CAPRICORN","21-722"
"5124","MACKAY/CAPRICORN","21-723"
"5125","MACKAY/CAPRICORN","21-716"
"5126","MACKAY/CAPRICORN","21-682"
"5127","MACKAY/CAPRICORN","21-684"
"5128","MACKAY/CAPRICORN","22-008"
"5129","MACKAY/CAPRICORN","22-009"
"5130","MACKAY/CAPRICORN","22-010"
"5131","MACKAY/CAPRICORN","22-021b"
"5132","MACKAY/CAPRICORN","20-316"
"5133","MACKAY/CAPRICORN","20-159"
"5134","MACKAY/CAPRICORN","20-161"
"5135","MACKAY/CAPRICORN","20-164"
"5136","MACKAY/CAPRICORN","20-259"
"5137","MACKAY/CAPRICORN","20-257b"
"5138","MACKAY/CAPRICORN","20-321"
"5139","MACKAY/CAPRICORN","20-328c"
"5140","MACKAY/CAPRICORN","20-328d"
"5141","MACKAY/CAPRICORN","20-342"
"5142","MACKAY/CAPRICORN","21-719"
"5143","MACKAY/CAPRICORN","22-020"
"5144","MACKAY/CAPRICORN","22-021a"
"5145","MACKAY/CAPRICORN","22-042"
"5146","MACKAY/CAPRICORN","22-043"
"5147","MACKAY/CAPRICORN","22-026"
"5148","MACKAY/CAPRICORN","21-727"
"5149","MACKAY/CAPRICORN","21-730"
"5150","MACKAY/CAPRICORN","22-027"
"5152","MACKAY/CAPRICORN","22-030"
"5153","MACKAY/CAPRICORN","22-125"
"5154","MACKAY/CAPRICORN","20-254"
"5155","MACKAY/CAPRICORN","20-339a"
"5156","MACKAY/CAPRICORN","20-343"
"5157","MACKAY/CAPRICORN","20-344"
"5158","MACKAY/CAPRICORN","20-168"
"5159","MACKAY/CAPRICORN","20-173"
"5160","MACKAY/CAPRICORN","20-345"
"5161","MACKAY/CAPRICORN","20-348"
"5162","MACKAY/CAPRICORN","20-177"
"5164","MACKAY/CAPRICORN","20-277a"
"5165","MACKAY/CAPRICORN","20-272"
"5166","MACKAY/CAPRICORN","20-290b"
"5167","MACKAY/CAPRICORN","22-044"
"5168","MACKAY/CAPRICORN","22-045"
"5169","MACKAY/CAPRICORN","22-046"
"5170","MACKAY/CAPRICORN","22-112"
"5171","MACKAY/CAPRICORN","22-138"
"5172","MACKAY/CAPRICORN","22-124"
"5173","MACKAY/CAPRICORN","22-118"
"5174","MACKAY/CAPRICORN","22-119"
"5175","MACKAY/CAPRICORN","22-122"
"5176","MACKAY/CAPRICORN","22-127"
"5177","MACKAY/CAPRICORN","21-596"
"5178","MACKAY/CAPRICORN","21-528"
"5179","MACKAY/CAPRICORN","21-521"
"5180","MACKAY/CAPRICORN","20-171"
"5181","MACKAY/CAPRICORN","20-290a"
"5182","MACKAY/CAPRICORN","20-289"
"5183","MACKAY/CAPRICORN","20-363"
"5184","MACKAY/CAPRICORN","20-364"
"5187","MACKAY/CAPRICORN","20-299a"
"5188","MACKAY/CAPRICORN","20-369b"
"5189","MACKAY/CAPRICORN","20-369c"
"5190","MACKAY/CAPRICORN","20-306"
"5191","MACKAY/CAPRICORN","22-139"
"5192","MACKAY/CAPRICORN","22-140"
"5193","MACKAY/CAPRICORN","22-141"
"5194","MACKAY/CAPRICORN","22-005"
"5196","MACKAY/CAPRICORN","20-356"
"5197","MACKAY/CAPRICORN","20-358"
"5199","MACKAY/CAPRICORN","20-239"
"5200","MACKAY/CAPRICORN","20-299e"
"5201","MACKAY/CAPRICORN","20-299f"
"5202","MACKAY/CAPRICORN","20-299h"
"5203","MACKAY/CAPRICORN","20-368"
"5204","MACKAY/CAPRICORN","20-301a"
"5205","MACKAY/CAPRICORN","20-302"
"5206","MACKAY/CAPRICORN","20-299g"
"5207","MACKAY/CAPRICORN","20-299j"
"5208","MACKAY/CAPRICORN","20-121"
"5209","MACKAY/CAPRICORN","20-122"
"5210","MACKAY/CAPRICORN","20-318"
"5211","MACKAY/CAPRICORN","20-319"
"5212","MACKAY/CAPRICORN","20-245"
"5213","MACKAY/CAPRICORN","20-301b"
"5214","MACKAY/CAPRICORN","20-303"
"5216","MACKAY/CAPRICORN","20-325"
"5217","MACKAY/CAPRICORN","20-322"
"5218","MACKAY/CAPRICORN","22-007"
"5219","MACKAY/CAPRICORN","22-077"
"5220","MACKAY/CAPRICORN","22-079"
"5221","MACKAY/CAPRICORN","22-120"
"5222","MACKAY/CAPRICORN","20-298"
"5224","MACKAY/CAPRICORN","20-253d"
"5225","MACKAY/CAPRICORN","20-312"
"5226","MACKAY/CAPRICORN","20-313"
"5227","MACKAY/CAPRICORN","20-299c"
"5228","MACKAY/CAPRICORN","20-320"
"5229","MACKAY/CAPRICORN","20-323"
"5231","MACKAY/CAPRICORN","20-317"
"5232","MACKAY/CAPRICORN","20-324"
"5233","MACKAY/CAPRICORN","20-328f"
"5236","MACKAY/CAPRICORN","20-261"
"5237","MACKAY/CAPRICORN","22-093"
"5238","MACKAY/CAPRICORN","22-094"
"5239","MACKAY/CAPRICORN","22-095"
